/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
62.4.40.137 - - [11/Jun/2025:11:11:13 +0000] "GET /api/repertoires/13 HTTP/1.1" 200 121 "https://chesso.org/repertoire/13" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:13 +0000] "GET /api/repertoires/13 HTTP/1.1" 200 121 "https://chesso.org/repertoire/13" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:17 +0000] "POST /api/openings/ HTTP/1.1" 201 143 "https://chesso.org/repertoire/13" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:17 +0000] "GET /api/repertoires/13 HTTP/1.1" 200 258 "https://chesso.org/repertoire/13" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:18 +0000] "GET /repertoire/13 HTTP/1.1" 304 0 "https://chesso.org/repertoires" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:19 +0000] "GET /api/repertoires/13 HTTP/1.1" 200 258 "https://chesso.org/repertoire/13" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:19 +0000] "GET /api/repertoires/13 HTTP/1.1" 200 258 "https://chesso.org/repertoire/13" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:20 +0000] "GET /api/openings/22 HTTP/1.1" 200 137 "https://chesso.org/repertoire/13/opening/22" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:20 +0000] "GET /api/positions/search-candidate?to_fen=rnbqkbnr%2Fpppppppp%2F8%2F8%2F8%2F8%2FPPPPPPPP%2FRNBQKBNR+w+KQkq+-+0+1&repertoire_id=13&opening_id=22 HTTP/1.1" 200 2 "https://chesso.org/repertoire/13/opening/22" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
62.4.40.137 - - [11/Jun/2025:11:11:21 +0000] "GET /api/positions/search-candidate?from_fen=rnbqkbnr%2Fpppppppp%2F8%2F8%2F8%2F8%2FPPPPPPPP%2FRNBQKBNR+w+KQkq+-+0+1&to_fen=rnbqkbnr%2Fpppppppp%2F8%2F8%2F4P3%2F8%2FPPPP1PPP%2FRNBQKBNR+b+KQkq+-+0+1&repertoire_id=13&opening_id=22 HTTP/1.1" 200 2 "https://chesso.org/repertoire/13/opening/22" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
